,SA2_NAME16,Longitude,Latitude,X,Y,Remoteness,IRSD,PAP,PPHD,PSCD,PEMD,PLCS,PCS,PVOD,PVTD,PI,PCOB,PD,PML
1,Alexandra Hills,153.2291453,-27.53249611,1868969.075,-3262319.46,1,6,0.75984252,0.158163265,0.132653061,0.112244898,0.12244898,0.12755102,0.270408163,0.168367347,0.11023622,0.829213483,0.016853933,0.887139108
2,Belmont - Gumdale,153.1586531,-27.50709197,1862593.146,-3258524.623,1,10,0.866666667,0.08045977,0.103448276,0.103448276,0.022988506,0.034482759,0.195402299,0.091954023,0,0.795669824,0.02435724,0.755555556
3,Birkdale,153.2107387,-27.49970794,1867740.496,-3258498.833,1,8,0.858513189,0.138121547,0.165745856,0.143646409,0.093922652,0.138121547,0.303867403,0.171270718,0.038369305,0.900206469,0.01651755,0.95283773
4,Capalaba,153.2029441,-27.54307918,1866266.001,-3263074.952,1,6,0.842975207,0.144047619,0.135714286,0.119047619,0.086904762,0.108333333,0.283333333,0.154761905,0.152892562,0.931216931,0.028218695,0.958677686
5,Thorneside,153.2007063,-27.48444624,1867026.936,-3256698.75,1,5,0.972477064,0.130434783,0.130434783,0.086956522,0.086956522,0.108695652,0.282608696,0.152173913,0.128440367,0.932975871,0.048257373,1
6,Wellington Point,153.2414666,-27.49477931,1870786.891,-3258422.721,1,9,1,0.141666667,0.058333333,0.058333333,0.041666667,0.083333333,0.216666667,0.075,0.034246575,0.906432749,0.052631579,0.942922374
7,Cleveland,153.2674778,-27.53294806,1872658.018,-3262938.989,1,6,0.720538721,0.047244094,0.05511811,0.078740157,0.070866142,0.05511811,0.165354331,0.094488189,0.094276094,0.796278159,0.035259549,0.684624018
8,Ormiston,153.2551197,-27.51010685,1871847.886,-3260284.071,1,9,1,0.065217391,0.065217391,0.086956522,0.065217391,0.065217391,0.195652174,0.108695652,0.04137931,0.715705765,0,0.625287356
9,Redland Bay,153.290817,-27.64788175,1872985.035,-3275719.513,1,8,0.719230769,0.087719298,0.092105263,0.078947368,0.057017544,0.052631579,0.188596491,0.100877193,0.073076923,0.790171176,0.053009387,0.892307692
10,Sheldon - Mount Cotton,153.216893,-27.60767783,1866534.05,-3270270.502,1,10,0.899653979,0.047619048,0.063492063,0.063492063,0.063492063,0.031746032,0.111111111,0.071428571,0.062283737,0.909448819,0.017716535,1
11,Thornlands,153.2608906,-27.56767665,1871442.489,-3266597.582,1,9,0.93877551,0.057591623,0.078534031,0.073298429,0.010471204,0.036649215,0.157068063,0.073298429,0.107142857,0.893430657,0.061313869,1
12,Victoria Point,153.2868875,-27.58707755,1873623.947,-3269083.601,1,6,0.772222222,0.070422535,0.077464789,0.063380282,0.042253521,0.042253521,0.176056338,0.084507042,0.083333333,0.874600639,0.04313099,0.875925926
13,Redland Islands,153.4413898,-27.5587629,1888991.17,-3268333.969,3,1,0.829931973,0.142857143,0.095238095,0.095238095,0.095238095,0.047619048,0.26984127,0.095238095,0.380952381,0.845401174,0.035225049,0.616780045
